gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,high school,standard,none,75,66,67
female,group C,associate's degree,free/reduced,none,48,70,62
female,group C,associate's degree,standard,none,74,93,86
male,group D,some high school,free/reduced,none,59,52,47
male,group E,some college,free/reduced,none,70,63,60
male,group D,some high school,free/reduced,none,61,64,56
male,group E,some college,standard,none,76,69,68
male,group E,some college,standard,completed,82,76,73
male,group D,some college,standard,completed,78,74,75
male,group C,associate's degree,standard,none,79,75,72
male,group C,associate's degree,free/reduced,none,68,68,67
female,group D,some high school,standard,completed,69,77,85
female,group B,some high school,standard,none,60,75,78
female,group C,some college,standard,completed,49,58,61
female,group C,master's degree,free/reduced,completed,76,77,86
male,group C,high school,standard,none,72,68,58
male,group C,associate's degree,free/reduced,none,76,74,69
male,group D,some high school,free/reduced,completed,81,83,82
female,group C,high school,free/reduced,none,77,80,77
female,group D,high school,free/reduced,none,60,68,67
female,group C,some college,free/reduced,completed,65,68,67
female,group B,some college,standard,none,44,43,43
female,group C,some college,standard,none,81,91,87
male,group E,some high school,free/reduced,completed,66,70,73
male,group D,bachelor's degree,free/reduced,none,72,79,74
female,group B,some college,standard,completed,85,98,94
male,group C,master's degree,free/reduced,completed,77,73,68
male,group D,some college,standard,none,86,89,89
male,group A,high school,standard,none,76,67,69
female,group B,associate's degree,standard,none,56,65,68
female,group C,master's degree,standard,none,78,76,87
male,group D,high school,standard,completed,82,83,83
female,group B,some high school,free/reduced,completed,46,60,65
female,group E,high school,free/reduced,none,60,69,66
female,group D,some high school,free/reduced,none,67,77,72
female,group B,some high school,standard,none,55,64,61
female,group A,associate's degree,standard,none,68,78,74
male,group C,master's degree,standard,none,54,44,43
male,group B,high school,free/reduced,none,20,20,16
female,group C,some college,standard,completed,71,70,75
male,group B,some college,standard,none,83,77,74
female,group E,master's degree,free/reduced,none,72,84,82
female,group B,master's degree,standard,completed,81,82,92
male,group C,some college,free/reduced,completed,52,52,51
female,group C,associate's degree,standard,none,70,84,79
male,group C,some college,free/reduced,none,67,60,53
male,group B,some college,standard,none,62,60,60
male,group D,associate's degree,standard,none,84,71,71
female,group B,some college,free/reduced,completed,59,62,61
male,group B,bachelor's degree,standard,none,52,54,51
female,group A,high school,standard,none,65,84,71
female,group B,associate's degree,free/reduced,none,51,68,61
male,group D,some college,standard,completed,98,97,100
male,group C,some college,standard,none,80,77,73
male,group C,associate's degree,standard,none,70,64,53
male,group A,master's degree,standard,none,70,70,64
female,group A,high school,free/reduced,completed,41,59,60
male,group D,associate's degree,standard,none,76,56,62
female,group E,some college,standard,none,82,96,91
female,group B,some college,free/reduced,none,40,59,54
male,group D,some college,free/reduced,completed,70,70,71
male,group D,some high school,standard,none,39,36,39
female,group C,master's degree,free/reduced,none,59,70,62
female,group E,bachelor's degree,free/reduced,completed,97,100,100
male,group D,bachelor's degree,free/reduced,none,78,89,82
female,group A,some college,standard,completed,46,55,63
female,group B,high school,standard,none,78,84,85
male,group D,bachelor's degree,standard,none,57,56,54
male,group C,some college,free/reduced,completed,52,48,47
male,group C,associate's degree,free/reduced,none,71,75,74
female,group D,associate's degree,standard,none,91,93,99
male,group E,some high school,free/reduced,none,83,71,69
male,group D,high school,free/reduced,none,55,43,35
female,group C,some high school,standard,none,81,94,93
female,group C,bachelor's degree,free/reduced,completed,81,95,98
male,group C,high school,standard,none,72,60,54
male,group B,associate's degree,standard,completed,97,84,92
female,group A,some high school,standard,none,77,89,90
female,group C,master's degree,standard,none,79,87,90
male,group D,associate's degree,standard,none,79,76,76
male,group B,some high school,standard,none,66,63,52
female,group C,high school,standard,completed,56,62,58
male,group D,some college,free/reduced,none,64,58,58
female,group D,associate's degree,standard,completed,99,97,100
female,group C,some high school,standard,none,73,80,77
female,group A,some college,standard,none,69,77,78
female,group E,some college,standard,completed,97,100,98
male,group C,bachelor's degree,standard,none,58,50,53
male,group E,some college,free/reduced,completed,64,60,52
male,group E,bachelor's degree,free/reduced,none,76,64,59
female,group E,some high school,free/reduced,none,58,62,53
male,group C,high school,standard,completed,88,93,97
female,group C,some high school,free/reduced,none,66,81,77
female,group B,some high school,standard,none,47,67,63
male,group B,high school,standard,none,70,68,69
male,group E,some high school,free/reduced,completed,70,67,71
female,group E,some college,free/reduced,none,52,67,67
male,group D,associate's degree,standard,none,78,70,66
female,group A,high school,free/reduced,completed,43,71,67
male,group B,some college,standard,completed,52,51,53
female,group C,some high school,free/reduced,completed,71,96,90
female,group E,associate's degree,standard,completed,100,100,100
male,group C,master's degree,standard,none,95,91,86
male,group E,associate's degree,free/reduced,none,64,54,50
male,group C,associate's degree,standard,none,73,71,56
male,group B,some high school,standard,none,46,49,43
male,group D,some college,standard,completed,80,81,78
male,group B,some high school,free/reduced,completed,43,43,39
female,group B,associate's degree,standard,none,81,78,82
male,group B,some college,free/reduced,completed,35,32,29
female,group D,associate's degree,standard,none,31,40,41
male,group C,associate's degree,standard,none,50,56,47
female,group C,some high school,standard,none,37,50,46
female,group C,associate's degree,standard,none,82,84,85
male,group D,high school,free/reduced,completed,50,58,56
female,group D,bachelor's degree,free/reduced,none,45,54,56
female,group B,some high school,standard,none,48,54,52
female,group D,high school,standard,none,50,56,60
male,group B,some college,standard,none,53,59,46
female,group D,some college,free/reduced,completed,65,74,74
female,group E,some college,free/reduced,completed,88,100,95
female,group C,bachelor's degree,standard,completed,66,80,85
male,group B,some high school,standard,none,68,59,59
male,group D,some college,free/reduced,none,47,53,47
male,group D,associate's degree,standard,none,75,72,75
male,group C,some high school,standard,completed,79,81,76
male,group C,some high school,free/reduced,completed,66,61,58
male,group D,some college,standard,completed,66,69,71
female,group D,associate's degree,standard,completed,77,87,95
female,group C,some college,free/reduced,completed,67,86,83
male,group D,some high school,standard,none,51,50,47
male,group E,associate's degree,standard,none,72,66,61
male,group A,associate's degree,standard,none,71,73,64
female,group D,some college,standard,none,77,67,71
female,group A,some college,standard,none,79,92,87
female,group A,associate's degree,free/reduced,none,51,70,64
male,group E,some college,standard,none,77,63,64
female,group B,associate's degree,standard,none,79,79,75
female,group E,high school,standard,none,49,53,48
female,group B,bachelor's degree,standard,completed,67,80,78
female,group C,bachelor's degree,free/reduced,completed,73,79,91
male,group A,some college,standard,none,75,64,65
male,group C,high school,standard,completed,70,71,69
male,group E,some high school,standard,completed,62,56,50
male,group E,associate's degree,standard,none,79,73,72
male,group E,some college,free/reduced,none,66,60,57
male,group C,some high school,standard,none,64,65,60
male,group E,associate's degree,standard,completed,78,79,80
female,group D,some high school,standard,none,53,58,61
female,group D,some college,standard,completed,43,40,51
female,group B,bachelor's degree,free/reduced,none,58,71,71
female,group B,some high school,free/reduced,none,56,67,67
male,group C,some college,standard,completed,70,68,68
female,group D,some college,standard,completed,68,79,82
male,group E,associate's degree,standard,completed,95,83,83
female,group E,master's degree,standard,none,76,82,79
male,group C,some high school,standard,none,87,86,78
female,group C,some college,free/reduced,completed,44,60,61
female,group B,some high school,standard,completed,56,69,68
female,group C,high school,standard,none,54,55,47
male,group D,some college,standard,completed,97,100,94
female,group C,some college,free/reduced,none,62,68,68
female,group B,bachelor's degree,free/reduced,none,53,68,65
female,group D,associate's degree,free/reduced,completed,82,88,85
male,group B,bachelor's degree,standard,none,79,73,74
male,group B,some high school,free/reduced,completed,63,69,62
male,group A,some college,standard,completed,79,68,72
female,group B,associate's degree,standard,none,56,63,66
female,group D,some high school,standard,none,58,77,77
female,group A,some college,standard,none,72,82,82
male,group E,some college,free/reduced,none,93,83,79
male,group D,associate's degree,free/reduced,none,70,63,62
male,group B,some college,free/reduced,none,38,43,44
male,group D,some college,free/reduced,none,75,80,71
male,group E,some high school,standard,completed,62,54,54
female,group D,some high school,standard,none,67,90,87
male,group C,some college,standard,completed,89,85,85
female,group C,associate's degree,free/reduced,completed,73,81,84
female,group B,some college,free/reduced,none,63,79,80
male,group C,high school,standard,none,60,51,55
male,group E,some college,free/reduced,completed,83,82,84
female,group B,some college,standard,none,60,75,70
male,group C,some high school,standard,none,77,75,70
male,group D,high school,standard,completed,61,60,65
male,group D,some high school,free/reduced,none,75,83,79
male,group E,some high school,free/reduced,completed,76,69,67
female,group D,associate's degree,standard,none,85,89,94
male,group C,high school,free/reduced,none,59,61,57
female,group E,some college,standard,completed,77,74,79
female,group C,associate's degree,free/reduced,completed,48,64,65
male,group E,some high school,free/reduced,completed,43,37,35
male,group E,some high school,standard,completed,66,65,61
female,group C,some college,standard,none,80,93,92
male,group D,associate's degree,standard,none,92,86,78
male,group E,master's degree,free/reduced,none,70,60,64
female,group C,some high school,standard,none,67,77,73
male,group C,associate's degree,standard,none,80,78,72
male,group D,some high school,free/reduced,none,50,56,50
male,group D,some high school,free/reduced,completed,28,31,35
female,group D,some high school,standard,completed,58,57,68
male,group C,some college,free/reduced,completed,60,61,59
male,group D,some high school,standard,completed,96,85,86
male,group C,some college,standard,none,80,75,65
male,group D,high school,standard,completed,75,64,69
female,group C,associate's degree,standard,completed,70,90,90
female,group D,high school,standard,completed,51,62,68
female,group C,high school,standard,none,42,46,42
female,group E,high school,free/reduced,none,74,83,78
female,group E,some college,standard,completed,77,80,83
male,group C,some college,standard,none,38,42,32
male,group C,high school,free/reduced,completed,60,55,56
female,group D,bachelor's degree,free/reduced,none,61,76,79
male,group E,bachelor's degree,standard,none,91,77,75
male,group B,some college,standard,none,79,72,68
male,group B,some college,free/reduced,completed,45,46,49
male,group C,some college,standard,none,93,87,83
female,group A,associate's degree,free/reduced,completed,60,79,81
female,group D,some college,standard,none,69,71,79
female,group D,some high school,standard,none,83,76,86
male,group C,associate's degree,standard,none,71,66,52
female,group D,some college,standard,completed,87,94,100
male,group E,some high school,standard,completed,92,81,81
female,group C,associate's degree,standard,completed,73,80,79
female,group E,associate's degree,free/reduced,none,87,98,88
female,group D,some college,standard,none,71,83,78
female,group D,some college,standard,none,65,74,78
male,group B,some college,standard,completed,70,57,66
male,group D,bachelor's degree,standard,completed,86,89,87
female,group B,high school,standard,none,49,58,63
male,group B,master's degree,standard,completed,69,61,64
male,group D,associate's degree,free/reduced,none,74,81,71
female,group E,associate's degree,standard,completed,90,100,100
female,group C,some college,standard,completed,63,79,80
female,group E,high school,standard,none,91,94,87
male,group D,some college,standard,none,76,66,61
male,group C,some college,standard,none,81,72,75
female,group C,bachelor's degree,free/reduced,completed,58,72,66
female,group B,some college,standard,none,81,95,85
female,group B,associate's degree,standard,none,69,65,64
female,group B,bachelor's degree,standard,none,73,89,85
female,group D,high school,free/reduced,none,56,70,73
female,group D,associate's degree,standard,completed,95,100,100
female,group C,associate's degree,standard,none,84,99,93
male,group A,associate's degree,free/reduced,none,58,58,49
female,group B,some high school,standard,completed,68,70,73
female,group D,some college,standard,none,69,71,81
female,group C,some college,free/reduced,none,39,57,52
female,group C,high school,standard,completed,80,78,82
female,group C,high school,free/reduced,none,49,60,53
female,group D,high school,standard,completed,78,85,87
male,group B,bachelor's degree,standard,none,86,80,77
female,group D,some high school,standard,none,64,74,73
female,group B,master's degree,standard,none,60,67,65
female,group D,some high school,free/reduced,none,41,44,48
male,group C,bachelor's degree,free/reduced,completed,85,86,80
female,group D,master's degree,standard,none,56,63,61
female,group D,associate's degree,standard,completed,80,94,90
female,group B,some college,standard,none,73,84,78
female,group C,high school,free/reduced,none,23,47,39
female,group B,bachelor's degree,standard,completed,63,81,83
male,group D,high school,standard,none,86,74,76
male,group C,master's degree,standard,none,92,84,85
male,group D,associate's degree,standard,completed,67,62,60
male,group D,associate's degree,standard,none,56,54,56
male,group C,bachelor's degree,standard,none,84,88,87
female,group C,bachelor's degree,standard,none,55,72,71
male,group B,high school,free/reduced,none,48,49,43
male,group C,associate's degree,free/reduced,none,53,53,48
female,group C,high school,free/reduced,completed,68,78,73
female,group C,some college,standard,completed,85,100,100
male,group E,high school,free/reduced,completed,66,80,70
male,group C,associate's degree,standard,none,93,78,87
female,group D,master's degree,standard,none,79,86,88
female,group E,some college,standard,none,98,100,96
female,group C,high school,standard,none,49,61,55
male,group E,master's degree,free/reduced,completed,54,50,50
female,group C,associate's degree,free/reduced,none,51,59,54
female,group D,associate's degree,free/reduced,completed,71,94,93
female,group D,some high school,standard,completed,40,43,48
female,group C,some college,free/reduced,none,22,42,36
female,group B,associate's degree,free/reduced,none,44,57,49
female,group E,associate's degree,standard,none,71,77,75
male,group C,some college,free/reduced,none,57,48,41
female,group B,high school,standard,completed,83,82,88
female,group C,some college,standard,none,55,66,65
female,group E,some college,standard,completed,83,76,83
male,group D,associate's degree,standard,none,75,76,67
female,group E,some high school,standard,none,77,74,78
male,group D,some high school,standard,none,79,79,81
male,group D,associate's degree,free/reduced,none,63,67,68
male,group B,some college,free/reduced,none,80,78,73
female,group B,some high school,standard,completed,89,86,83
